Partner ID,Partner Type,Earnings (Value),Earnings (Stability Type),Perf. Rating (Avg),Time on Platform (Months),Order/Trip Volume,Financial Activity (Score),Earnings Volatility,On-Time Loan Repayments,Operational Anomaly Score,Creditworthy
00001,Driver,2271,Stable,4.3,19,419,0.64,0.1,10,0.12,1
00002,Driver,1342,Stable,4.3,7,315,0.27,0.43,5,0.3,0
00003,Driver,2126,Stable,3.7,2,593,0.44,0.1,10,0.3,0
00004,Driver,1898,Stable,4.5,27,447,0.6,0.1,12,0.03,1
00005,Driver,2174,Variable,4.6,36,608,0.82,0.1,15,0.04,1
00006,Driver,1775,Seasonal,4.3,20,402,0.56,0.22,10,0.22,0
00007,Driver,1028,Stable,4.2,1,290,0.18,0.42,3,0.13,0
00008,Merchant,1324,Variable,4.3,9,343,0.28,0.35,3,0.17,0
00009,Merchant,1039,Variable,4.6,27,332,0.4,0.47,6,0.17,0
00010,Driver,2151,Stable,4.4,21,474,0.63,0.1,10,0.22,1
00011,Merchant,1372,Stable,4.0,11,338,0.49,0.3,11,0.1,0
00012,Driver,1901,Variable,4.7,46,544,0.8,0.14,14,0.12,1
00013,Driver,1667,Seasonal,4.9,36,433,0.57,0.21,11,0.0,1
00014,Driver,1840,Seasonal,3.8,13,386,0.5,0.1,10,0.4,0
00015,Driver,1003,Stable,4.9,43,303,0.54,0.31,11,0.2,1
00016,Driver,2354,Seasonal,4.9,47,512,0.88,0.1,15,0.0,1
00017,Driver,2014,Seasonal,4.1,10,436,0.6,0.1,11,0.08,0
00018,Driver,1822,Seasonal,4.6,31,505,0.72,0.1,13,0.15,1
00019,Driver,1386,Seasonal,4.7,45,323,0.52,0.29,12,0.0,1
00020,Driver,1193,Variable,4.7,38,318,0.57,0.5,11,0.1,1
00021,Merchant,1775,Variable,4.0,7,391,0.39,0.14,5,0.25,0
00022,Driver,1805,Variable,4.5,23,417,0.51,0.15,9,0.24,0
00023,Driver,1931,Stable,4.2,1,418,0.52,0.1,8,0.26,0
00024,Driver,2273,Stable,4.6,18,642,0.7,0.1,13,0.27,1
00025,Merchant,1113,Stable,4.7,30,332,0.48,0.34,11,0.25,1
00026,Merchant,1339,Seasonal,4.1,14,289,0.35,0.17,5,0.31,0
00027,Driver,1437,Stable,4.7,45,427,0.6,0.39,14,0.06,1
00028,Merchant,1186,Variable,4.7,40,264,0.44,0.35,9,0.2,1
00029,Driver,1163,Variable,4.3,25,366,0.46,0.4,7,0.06,0
00030,Merchant,1558,Stable,4.5,26,463,0.62,0.34,14,0.15,1
00031,Merchant,1635,Stable,4.7,25,449,0.61,0.14,12,0.23,1
00032,Merchant,1288,Seasonal,4.8,42,385,0.66,0.43,11,0.15,1
